age_group,outcome,count
66-67,intubation,52
66-67,ventilation,45
66-67,"death, no hospitalization",36
66-67,death and hospitalization,95
68-69,hospitalization,346
68-69,ICU admission,61
68-69,intubation,38
68-69,ventilation,32
68-69,"death, no hospitalization",51
68-69,death and hospitalization,94
70-71,hospitalization,413
70-71,ICU admission,57
70-71,intubation,59
70-71,ventilation,34
70-71,"death, no hospitalization",60
70-71,death and hospitalization,134
72-73,hospitalization,450
72-73,ICU admission,57
72-73,intubation,59
72-73,ventilation,38
72-73,"death, no hospitalization",80
72-73,death and hospitalization,141
74-75,hospitalization,444
74-75,ICU admission,57
74-75,intubation,44
74-75,ventilation,30
74-75,"death, no hospitalization",89
74-75,death and hospitalization,146
76-77,hospitalization,455
76-77,ICU admission,44
76-77,intubation,37
76-77,ventilation,32
76-77,"death, no hospitalization",122
76-77,death and hospitalization,158
78-79,hospitalization,478
78-79,ICU admission,63
78-79,intubation,38
78-79,ventilation,23
78-79,"death, no hospitalization",142
78-79,death and hospitalization,184
80-81,hospitalization,550
80-81,ICU admission,42
80-81,intubation,26
80-81,ventilation,21
80-81,"death, no hospitalization",154
80-81,death and hospitalization,192
82-83,hospitalization,560
82-83,ICU admission,27
82-83,intubation,23
82-83,ventilation,23
82-83,"death, no hospitalization",223
82-83,death and hospitalization,248
84-85,hospitalization,584
84-85,ICU admission,29
84-85,intubation,15
84-85,ventilation,18
84-85,"death, no hospitalization",249
84-85,death and hospitalization,229
86-87,hospitalization,564
86-87,ICU admission,27
86-87,intubation,12
86-87,ventilation,10
86-87,"death, no hospitalization",324
86-87,death and hospitalization,239
88-89,hospitalization,535
88-89,ICU admission,29
88-89,intubation,8
88-89,ventilation,10
88-89,"death, no hospitalization",354
88-89,death and hospitalization,241
90-91,hospitalization,515
90-91,ICU admission,19
90-91,intubation,4
90-91,ventilation,6
90-91,"death, no hospitalization",356
90-91,death and hospitalization,259
92-93,hospitalization,435
92-93,ICU admission,8
92-93,intubation,0
92-93,ventilation,6
92-93,"death, no hospitalization",339
92-93,death and hospitalization,201
94-95,hospitalization,272
94-95,ICU admission,8
94-95,intubation,2
94-95,ventilation,2
94-95,"death, no hospitalization",306
94-95,death and hospitalization,131
96-97,hospitalization,127
96-97,ICU admission,3
96-97,intubation,0
96-97,ventilation,0
96-97,"death, no hospitalization",189
96-97,death and hospitalization,66
98-99,hospitalization,82
98-99,ICU admission,2
98-99,intubation,0
98-99,ventilation,0
98-99,"death, no hospitalization",129
98-99,death and hospitalization,41
100+,hospitalization,55
100+,ICU admission,1
100+,intubation,0
100+,ventilation,0
100+,"death, no hospitalization",100
100+,death and hospitalization,30
